"089-1000050","10","13","177.70062011174244","AIS","male","#a5501f","3.0","2.28","732","2","27","i"
"089-1000074","7","9","112.93359256756314","AIS","female","#86cd45","4.0","2.47","772","0","35","d"
"089-1000033","7","8","94.14457933232637","AIS","male","#b3772e","3.0","2.36","572","5","34","f"
"089-1000060","14","15","294.6890579737787","AIS","male","#b3772e","3.0","2.11","801","5","38","a"
"089-1000088","7","12","89.9800403687014","AIS","male","#374771","3.0","2.38","867","3","24","f"
"089-1000039","3","13","59.5904225027692","AIS","male","#c458b7","4.0","2.77","891","1","28","g"
"089-1000010","7","13","79.21359617814801","AIS","female","#c458b7","4.0","2.51","426","1","31","e"
"089-1000018","13","7","146.6543108367954","AIS","female","#b3772e","3.0","2.17","563","5","21","f"
"089-1000028","14","11","207.93759568287265","AIS","male","#a5501f","3.0","2.12","636","2","30","f"
"089-1000045","13","3","55.108469130852704","AIS","male","#86cd45","3.0","2.12","410","0","26","e"
"089-1000006","13","16","213.22981220644047","AIS","female","#a5501f","3.0","2.23","757","2","23","c"
"089-1000032","8","5","44.19723809472262","AIS","female","#c458b7","3.0","2.43","500","1","30","i"
"089-1000024","10","7","96.18247937276575","AIS","female","#c458b7","3.0","2.37","829","1","30","a"
"089-1000059","14","4","69.71881905146219","AIS","female","#a5501f","3.0","2.14","605","2","27","e"
"089-1000017","8","9","65.65457660518737","AIS","male","#a5501f","3.0","2.39","809","2","24","h"
"089-1000094","8","6","79.9396559791445","AIS","male","#a5501f","4.0","2.35","737","2","36","a"
"089-1000058","6","16","132.99163436351515","AIS","female","#374771","4.0","2.51","804","3","27","d"
"089-1000030","14","11","243.27016210792496","AIS","female","#b3772e","3.0","2.14","768","5","34","d"
"089-1000034","15","9","159.30205681256982","AIS","female","#21dfc7","3.0","2.09","444","4","40","f"
"089-1000020","8","7","84.43629215580995","AIS","female","#86cd45","4.0","2.41","633","0","29","b"
"089-1000015","11","11","238.17295957626214","AIS","male","#c458b7","3.0","2.16","669","1","38","b"
"089-1000097","11","13","196.0454881241599","AIS","female","#c458b7","3.0","2.15","514","1","20","a"
"089-1000084","15","12","252.0343902605689","AIS","female","#b3772e","3.0","2.1","831","5","34","h"
"089-1000100","10","11","129.61183940385288","AIS","female","#a5501f","3.0","2.27","676","2","28","d"
"089-1000044","18","11","311.7020609651938","AIS","female","#c458b7","3.0","2.01","553","1","37","i"
"089-1000031","8","8","89.31867542244478","AIS","female","#374771","3.0","2.31","663","3","24","h"
"089-1000085","14","4","59.173793850048796","AIS","male","#374771","3.0","2.2","735","3","33","d"
"089-1000071","10","13","193.56207908704897","AIS","male","#86cd45","3.0","2.18","602","0","23","g"
"089-1000076","15","6","142.50875655691064","AIS","female","#b3772e","3.0","2.04","880","5","34","e"
"089-1000038","8","7","70.79271250020477","AIS","male","#a5501f","3.0","2.33","880","2","37","i"
"089-1000068","8","12","115.6856605984315","AIS","male","#86cd45","3.0","2.33","467","0","21","c"
"089-1000086","10","11","153.71849219338318","AIS","male","#a5501f","3.0","2.3","756","2","35","a"
"089-1000016","6","4","29.614187098591113","AIS","male","#a5501f","4.0","2.53","626","2","24","d"
"089-1000080","9","11","145.36907630338354","AIS","male","#86cd45","3.0","2.32","683","0","38","c"
"089-1000079","11","5","76.25180090119721","AIS","male","#c458b7","3.0","2.29","675","1","35","a"
"089-1000014","7","7","67.88519272394274","AIS","female","#21dfc7","3.0","2.39","816","4","27","e"
"089-1000041","14","8","188.27985134786897","AIS","female","#a5501f","3.0","2.12","726","2","38","i"
"089-1000023","6","9","71.41775625904882","AIS","male","#c458b7","4.0","2.5","494","1","26","h"
"089-1000011","8","9","111.14209086875394","AIS","female","#c458b7","3.0","2.26","414","1","30","h"
"089-1000026","8","11","131.0985141356465","AIS","female","#21dfc7","3.0","2.34","404","4","36","h"
"089-1000089","4","12","61.02500638150406","AIS","female","#b3772e","4.0","2.57","842","5","29","b"
"089-1000035","7","12","170.8830095358738","AIS","female","#21dfc7","3.0","2.31","618","4","27","h"
"089-1000092","6","11","100.41995351414016","AIS","female","#c458b7","4.0","2.58","614","1","27","c"
"089-1000004","10","9","118.1116146135999","AIS","female","#374771","4.0","2.32","870","3","23","c"
"089-1000055","9","14","122.52492469003305","AIS","female","#a5501f","3.0","2.29","789","2","25","a"
"089-1000090","9","7","93.09007278976732","AIS","male","#21dfc7","3.0","2.34","479","4","26","h"
